등록기관,종별,의료기관명,전화번호,소재지(지번),소재지(도로명),인허가일자
전라남도 여수시 보건소,치과의원,설인택치과의원,061-641-0580,전남 여수시 서교동 609,전라남도 여수시 서교2길 2 (서교동),1991-02-20
전라남도 진도군 보건소,치과의원,뉴욕치과의원,061-544-2827,전라남도 진도군 진도읍 남동리,"전라남도 진도군 진도읍 남문길 42, 1층",2008-05-27
전라남도 구례군 보건의료원,의원,서울안과의원,061-781-0082,전라남도 구례군 구례읍 봉동리 376번지,전라남도 구례군 구례읍 로터리길 11,2010-05-04
전라남도 목포시 보건소,의원,박찬연이비인후과의원,061-281-7581,전라남도 목포시 상동 854-8번지 2층,"전라남도 목포시 옥암로 129, 2층 (상동)",2002-12-09
전라남도 나주시 보건소,의원,나주이비인후과의원,061-332-3233,전라남도 나주시 중앙동 4번지10호,,2000-02-14
전라남도 나주시 보건소,치과의원,이튼튼치과의원,061-333-2275,전라남도 나주시 빛가람동 330번지 3호 리버빌딩4층 402호,"전라남도 나주시 그린로 339, 4층 402호 (빛가람동, 리버빌딩)",2015-11-19
전라남도 해남군 보건소,치과의원,해남치과의원,061-533-2875,전라남도 해남군 해남읍 읍내리 72번지 3호,,1986-06-27
전라남도 순천시 보건소,치과의원,이조은치과의원,061-754-0028,전라남도 순천시 매곡동 115번지 28호,,2011-06-30
전라남도 순천시 보건소,치과의원,상아치과의원,061-727-0275,전라남도 순천시 해룡면 신대리 2003번지,"전라남도 순천시 해룡면 신대로 97, 5동 202호 (중흥에스클라스상가)",2014-06-19
전라남도 고흥군 보건소,한의원,원광한의원,061-835-0404,,전라남도 고흥군 고흥읍 여산당촌길 3,1993-03-30
전라남도 목포시 보건소,의원,강내과의원,061-277-7477,,"전라남도 목포시 영산로 343 (용당동, 태금빌딩)",2002-08-14
전라남도 여수시 보건소,의원,한우리신경외과의원,061-643-3366,,"전라남도 여수시 남산로 126, 2층 (서교동, 성흔빌딩)",2016-12-16
전라남도 여수시 보건소,의원,온누리의원,061-686-2475,전라남도 여수시 율촌면 조화리 266번지 12호,전라남도 여수시 율촌면 당머리길 10,2012-01-04
전라남도 고흥군 보건소,의원,김산부인과의원,061-833-0010,전라남도 고흥군 고흥읍 남계리,전라남도 고흥군 고흥읍 터미널길 24,2000-07-18
전라남도 여수시 보건소,치과의원,새봄치과의원,061-691-7227,전라남도 여수시 학동 44번지 2호 롯데리아,"전라남도 여수시 시청로 43, 롯데리아 2층 (학동)",2007-11-07
전라남도 목포시 보건소,의원,서울피부과의원,061-243-0096,전라남도 목포시 옥암동 970번지 4호 3층,"전라남도 목포시 백년대로 391, 3층 (옥암동)",2006-04-21
전라남도 무안군 보건소,치과의원,명인치과의원,061-802-2879,전라남도 무안군 삼향읍 남악리 1849번지,"전라남도 무안군 삼향읍 남악5로48번길 17, 3층 (정우빌딩)",2012-11-26
전라남도 고흥군 보건소,치과의원,이치과의원,061-842-2875,전라남도 고흥군 도양읍 봉암리,전라남도 고흥군 도양읍 비봉로 153,2005-10-25
전라남도 광양시 보건소,치과의원,금호치과의원,061-793-4111,전라남도 광양시 중동 1634번지 12호,,1991-04-27
전라남도 여수시 보건소,치과의원,루가치과의원,061-684-0543,전라남도 여수시 학동 54번지 (상가 2동 310호),"전라남도 여수시 무선로 50, 3층 (학동, 신동아파밀리에상가)",1990-04-27
전라남도 여수시 보건소,의원,연세소아청소년과의원,061-651-7223,전라남도 여수시 선원동 1342번지 1호,"전라남도 여수시 선원4길 3, 3층 (선원동, 대양빌딩)",2001-04-21
전라남도 순천시 보건소,치과의원,우리치과의원,061-722-2209,전라남도 순천시 조례동 1833번지 5호 (3층),"전라남도 순천시 왕궁길 5, 3층 (조례동)",2003-12-16
전라남도 순천시 보건소,치과의원,이용승치과의원,061-723-2772,,"전라남도 순천시 이수로 304, 5층 (연향동)",2004-12-01
전라남도 영광군 보건소,,홍농가곡보건진료소,061-356-0403,,전라남도 영광군 홍농읍 샘목로 602,1982-10-01
전라남도 영광군 보건소,,백수하사보건진료소,061-352-6165,,전라남도 영광군 백수읍 하사길3길 17 (하사보건진료소),1984-10-01
전라남도 영광군 보건소,,백수대신보건진료소,061-352-6918,,전라남도 영광군 백수읍 대신길1길 1,1986-07-01
전라남도 순천시 보건소,치과의원,이편한치과의원,061-741-2828,전라남도 순천시 장천동 21번지 21호 (2층),"전라남도 순천시 팔마로 14, 2층 (장천동)",2004-05-17
전라남도 영광군 보건소,,백수논산보건진료소,061-353-5993,,전라남도 영광군 군서면 성지로 864,1983-10-01
전라남도 순천시 보건소,치과의원,나래치과의원,061-723-7543,전라남도 순천시 해룡면 상삼리 693번지 부영10차A 상가동 203호,"전라남도 순천시 해룡면 장선배기길 181, 상가동 203호동",2007-10-01
전라남도 순천시 보건소,의원,장용석비뇨기과의원,061-722-7584,전라남도 순천시 조례동 1718번지 5호,전라남도 순천시 남신월길 15-1 (조례동),1999-04-27
전라남도 강진군 보건소,,강진군옴천면영산보건진료소,061-430-3587,,전라남도 강진군 옴천면 장강로 1776 (옴천영산보건진료소),1988-01-01
전라남도 목포시 보건소,치과병원,예닮치과병원,061-284-7528,전라남도 목포시 상동 848번지 2호,전라남도 목포시 비파로 91 (상동),2008-11-24
전라남도 순천시 보건소,치과의원,대한치과의원,061-741-7528,"전라남도 순천시 저전동 35번지 5호 (2,3층)",,2010-09-02
전라남도 여수시 보건소,한의원,명보한의원,061-691-7595,,"전라남도 여수시 도원로 181, 2층 (선원동)",1999-03-10
전라남도 구례군 보건의료원,의원,김가정의학과의원,061-781-1626,구례군산동면원촌리127-2,전라남도 구례군 산동면 원촌1길 8,1997-04-17
전라남도 구례군 보건의료원,,구례군보건의료원,061-780-2003,전라남도 구례군 구례읍 백련리 576번지,전라남도 구례군 구례읍 동편제길 30,1963-04-04
전라남도 광양시 보건소,한의원,현대경희한의원,061-794-1075,전라남도 광양시 중동 1650번지 6호,"전라남도 광양시 오류2길 1, 2층 (중동)",2006-09-25
전라남도 목포시 보건소,의원,미세상피부과의원,061-283-7675,전라남도 목포시 상동 999번지 2층,,2002-09-16
,,장성군남면보건지소,061-390-7672,,전라남도 장성군 남면 못재로 101 (남면보건지소),1986-07-08
,의원,제일통증의학과의원,061-392-1141,,전라남도 장성군 북이면 백양로 11,2006-01-02
전라남도 진도군 보건소,치과의원,수치과의원,061-544-7582,전라남도 진도군 진도읍 남동리,"전라남도 진도군 진도읍 남문길 13, 3층",2003-08-01
전라남도 여수시 보건소,의원,우리연합의원,061-664-7755,전라남도 여수시,전라남도 여수시 동문로 40 (고소동),2001-09-01
전라남도 여수시 보건소,의원,돌산연합의원,061-644-8808,전라남도 여수시 돌산읍 우두리 1088번지 4호,전라남도 여수시 돌산읍 강남동로 39-1,2010-05-27
전라남도 영암군 보건소,,해창보건진료소,061-472-1271,전라남도 영암군 군서면 해창리 460번지 3호,전라남도 영암군 군서면 오산로 252 (군서 해창 보건진료소),1981-11-01
전라남도 영암군 보건소,의원,중앙의원,061-472-1335,,전라남도 영암군 시종면 마한로 1272-1,2001-03-02
전라남도 영암군 보건소,의원,제일의원,061-472-3470,전라남도 영암군 영암읍 역리 149번지 3호,"전라남도 영암군 영암읍 낭주로 173, 2층",1994-11-02
전라남도 해남군 보건소,의원,연세마취통증의학과의원,061-534-6222,,전라남도 해남군 해남읍 해남로 7,1998-02-17
전라남도 보성군 보건소,의원,벌교순천안과의원,061-858-8275,,전라남도 보성군 벌교읍 채동선로 224-1,2007-11-08
전라남도 강진군 보건소,의원,오창근의원,061-433-2121,전라남도 강진군 강진읍 남성리 5-25,전라남도 강진군 강진읍 보은로1길 29-1,1995-04-28
전라남도 장흥군 보건소,치과의원,김산치과의원,061-862-2285,,전라남도 장흥군 장흥읍 중앙로 19-1,1998-06-19
전라남도 강진군 보건소,의원,현대의원,061-432-3541,전라남도 강진군 마량면 마량리 987-16,,1996-10-04
전라남도 보성군 보건소,치과의원,설광치과의원,061-858-2979,전라남도 보성군 벌교읍 벌교리 625번지 39호,전라남도 보성군 벌교읍 채동선로 241-2,1991-06-10
전라남도 보성군 보건소,치과의원,신치과의원,061-858-2875,전라남도 보성군 벌교읍 벌교리 890번지 6호,전라남도 보성군 벌교읍 채동선로 228-2,1987-05-02
전라남도 보성군 보건소,치과의원,정치과의원,061-857-0234,전라남도 보성군 벌교읍 벌교리 874번지 6호,전라남도 보성군 벌교읍 채동선로 247,1995-07-15
전라남도 해남군 보건소,의원,해남편한내과의원,061-535-7588,전라남도 해남군 해남읍 해리 361-1 정하빌딩,"전라남도 해남군 해남읍 남부순환로 5, 정하빌딩",2020-09-21
전라남도 순천시 보건소,의원,다정의원,061-725-7987~8,전라남도 순천시 해룡면 상삼리 691번지 청솔@1차상가206호,,2010-12-08
전라남도 순천시 보건소,의원,박성식신경과의원,061-722-0522,전라남도 순천시 조례동 1587번지 7호,"전라남도 순천시 장선배기1길 9-8, 2층 (조례동)",2017-12-14
전라남도 목포시 보건소,의원,해뜰마취통증의학과의원,061-242-0069,전라남도 목포시 호남동 97번지 2층,"전라남도 목포시 영산로 130, 2층 (호남동)",2008-03-20
전라남도 목포시 보건소,치과의원,엄옥철치과의원,061-278-0275,전라남도 목포시 산정2동 1041-13번지,전라남도 목포시 산정로 159 (산정동),1992-10-23
전라남도 화순군 보건소,,사평면보건지소,061-379-5242,전라남도 화순군 남면 사평리 104-1,전라남도 화순군 남면 사호로 228,1977-06-01
전라남도 목포시 보건소,치과의원,송치과의원,061-282-6868,전라남도 목포시 상동 983-1,"전라남도 목포시 신흥로 10-1, 5층 (상동)",1985-05-03
,치과의원,민치과의원,061-392-2831,전라남도 장성군 장성읍 영천리 1273번지 214호,전라남도 장성군 장성읍 영천로 125-4,2012-09-20
전라남도 광양시 보건소,,광양시보건소,061-797-4005,전라남도 광양시 광양읍 칠성리 70,전라남도 광양시 광양읍 인덕로 1100,1999-12-02
전라남도 목포시 보건소,의원,늘편한가정의학과의원,061-243-6262,전라남도 목포시 대안동 14번지 18호,"전라남도 목포시 호남로64번길 27, 3층 (대안동)",2019-08-03
전라남도 순천시 보건소,한의원,태양당한의원,061-908-1117,,전라남도 순천시 조례1길 15 (조례동),2012-12-04
전라남도 순천시 보건소,의원,순천현대의원,061-743-0477,전라남도 순천시 남정동 546번지 8호 (2층),"전라남도 순천시 우석로 98, 2층 (남정동)",2000-01-31
전라남도 해남군 보건소,한의원,남창한의원,061-534-7588,전라남도 해남군 북평면 남창리 255-1,전라남도 해남군 북평면 달량진길 49,2006-04-17
전라남도 강진군 보건소,치과의원,강진서울치과의원,061-433-2855,전라남도 강진군 강진읍 남성리 38-2,"전라남도 강진군 강진읍 중앙로 103, 2층",2023-09-01
전라남도 고흥군 보건소,,두원북부보건지소,061-830-5469,전라남도 고흥군 두원면 성두리 1023번지 4호,전라남도 고흥군 두원면 두원로 896,1982-03-02
전라남도 여수시 보건소,치과의원,김재완치과의원,061-663-0050,전남 여수시 충무동 628-18,전라남도 여수시 충무로 48 (충무동),1983-01-15
전라남도 여수시 보건소,치과의원,이용균치과의원,061-663-2275,전남 여수시 교동 585-1,전라남도 여수시 충무로 31 (교동),1993-05-29
전라남도 함평군 보건소,,학교보건지소,061-320-3415,전라남도 함평군 학교면 사거리,전라남도 함평군 학교면 함영로 472,1964-02-11
전라남도 함평군 보건소,,나산보건지소,061-320-3418,전라남도 함평군 나산면 삼축리,전라남도 함평군 나산면 나산길 118,1964-02-11
전라남도 함평군 보건소,,엄다보건지소,061-320-3416,전라남도 함평군 엄다면 엄다리,전라남도 함평군 엄다면 엄다길 55,1964-02-11
전라남도 함평군 보건소,,대동보건지소,061-320-3417,전라남도 함평군 대동면 향교리,전라남도 함평군 대동면 대동길 5-10,1964-02-11
전라남도 목포시 보건소,의원,정가정의학과의원,061-277-6998,전라남도 목포시 용해동 979번지 2호 플러스약국,"전라남도 목포시 용해지구로 11, 플러스약국 2층 (용해동)",2020-03-11
전라남도 여수시 보건소,의원,잘자는 정신건강의학과의원,061-643-8274,,전라남도 여수시 남산로 126 (서교동),2015-01-05
전라남도 광양시 보건소,의원,로뎀정신건강의학과의원,061-793-1359,전라남도 광양시 중동 1759번지 13호 2층,,2012-03-26
전라남도 담양군 보건소,의원,심정형외과의원,061-383-9920,전라남도 담양군 담양읍 지침리 115-8,전라남도 담양군 담양읍 지침6길 20,1997-03-24
전라남도 완도군 보건의료원,의원,금일한국의원,061-552-7582,전라남도 완도군 금일읍 화목리 972번지,전라남도 완도군 금일읍 금일로 361-1,2011-06-07
전라남도 순천시 보건소,치과의원,박기정치과의원,061-727-2804,전라남도 순천시 조례동 1604-5,"전라남도 순천시 장선배기길 33, 4층 (조례동)",2010-12-15
전라남도 강진군 보건소,의원,정준성내과의원,061-433-7588,전라남도 강진군 강진읍 평동리 167-1,,2004-03-13
전라남도 목포시 보건소,의원,김양순내과의원,061-242-9951,전라남도 목포시 대안동 12-3번지,전라남도 목포시 호남로58번길 29 (대안동),1985-03-04
전라남도 담양군 보건소,한의원,실로암한의원,061-383-9998,전라남도 담양군 담양읍 천변리 180-9,"전라남도 담양군 담양읍 천변7길 25, 제1동 1층",2000-02-29
전라남도 여수시 보건소,의원,기독연합의원,061-662-7773,전라남도 여수시 문수동 128번지 2호,전라남도 여수시 문수로 54 (문수동),2011-04-15
전라남도 여수시 보건소,의원,무진연합의원,061-641-7588,,"전라남도 여수시 신월로 810, 2층 (서교동)",2012-10-26
전라남도 여수시 보건소,의원,열린의원,061-682-8079,전라남도 여수시 화양면 나진리 484번지 1호 2층,,2008-04-07
전라남도 여수시 보건소,의원,이레의료소비자생활협동조합여천우리의원,061-641-6263,전라남도 여수시 학동 44번지 2호 (2층),,2011-02-16
전라남도 여수시 보건소,의원,여수속편한내과의원,061-663-7585,,"전라남도 여수시 여서로 164-1, 4층 (여서동)",2016-09-01
전라남도 순천시 보건소,의원,의료법인 열린의료재단 정택균의원,061-725-7565,,,2011-11-15
전라남도 순천시 보건소,의원,숨이편한내과의원,061-726-8275,전라남도 순천시 해룡면 신대리 1981번지 1호,"전라남도 순천시 해룡면 매안로 143, 2층 1~2호",2015-06-22
전라남도 여수시 보건소,치과의원,원치과의원,061-664-0767,전라남도 여수시 서교동 649번지 3호,"전라남도 여수시 좌수영로 3, 2층 (서교동)",1990-04-20
전라남도 목포시 보건소,의원,오비뇨기과의원,061-243-6776,전라남도 목포시 명륜동 6-4번지 2층,"전라남도 목포시 영산로 97, 2층 (명륜동)",1998-04-24
전라남도 순천시 보건소,치과의원,가지런이치과의원,061-741-2275,전라남도 순천시 풍덕동 1757번지 1호,"전라남도 순천시 순천만정원로 86, 3층 (풍덕동)",2017-04-11
전라남도 해남군 보건소,한의원,송지한의원,061-534-8021,전라남도 해남군 송지면 산정리 403번지 5호,전라남도 해남군 송지면 산정길 65,2001-08-23
전라남도 해남군 보건소,치과의원,오성재치과의원,061-534-2888,전라남도 해남군 해남읍 해리 405번지 8호,,1998-01-13
전라남도 여수시 보건소,의원,복음안과의원,061-642-6800,전라남도 여수시 서교동 534-2,전라남도 여수시 중앙로 9-1 (서교동),1992-01-20
전라남도 순천시 보건소,치과의원,정치과의원,061-724-2080,전라남도 순천시 연향동 1384번지 3호,"전라남도 순천시 연향1로 55, 2층 201호 (연향동, 부영1차아파트)",2016-04-15
전라남도 곡성군 보건의료원,치과의원,석곡치과의원,061-363-7528,전라남도 곡성군 석곡면 석곡리 215번지 1호,,2011-10-12
전라남도 신안군 보건소,치과의원,현대치과의원,061-275-2509,전라남도 신안군 지도읍 읍내리 70번지 7호,전라남도 신안군 지도읍 봉리길 16-3,1994-03-08
전라남도 진도군 보건소,의원,서울의원,061-543-7582,,전라남도 진도군 고군면 오일시2길 107-9,1996-09-30
전라남도 완도군 보건의료원,의원,김병곤외과의원,061-552-2474,전라남도 완도군 완도읍 군내리 782번지 137호,전라남도 완도군 완도읍 중앙길 24,1989-10-06
전라남도 진도군 보건소,의원,제일의원,061-544-2204,전라남도 진도군 진도읍 교동리 482-6,,1982-05-11
전라남도 강진군 보건소,,강진군신전보건지소,061-430-5855,전라남도 강진군 신전면 수양리 170번지 41호,전라남도 강진군 신전면 신전중앙길 15-4,1988-01-01
전라남도 강진군 보건소,,강진군마량보건지소,061-430-5832,,전라남도 강진군 마량면 마량4길 4-1 (마량보건진료소),1988-01-01
전라남도 화순군 보건소,의원,명인외과의원,061-371-0202,전라남도 화순군 능주면 석고리 196번지 6호,전라남도 화순군 능주면 죽수길 99,1997-12-30
전라남도 무안군 보건소,한의원,우리한의원,061-452-1078,전라남도 무안군 망운면 목동리 626번지 5호,전라남도 무안군 망운면 운해로 1413,2012-04-30
전라남도 목포시 보건소,치과병원,미르치과병원,061-280-8800,전라남도 목포시 상동 835번지,전라남도 목포시 백년대로 319 (상동),2009-03-28
전라남도 무안군 보건소,의원,킴스의원,061-287-3735,전라남도 무안군 삼향읍 남악리 2141번지 제일프라자,"전라남도 무안군 삼향읍 남악3로 80, 제일프라자 402,403호",2012-04-25
전라남도 보성군 보건소,의원,소망내과의원,061-852-8811,,전라남도 보성군 보성읍 현충로 94,2004-08-31
전라남도 해남군 보건소,,구산보건진료소,061-536-4412,,전라남도 해남군 현산면 입제길 41 (구산리보건진료소),1981-01-01
전라남도 해남군 보건소,,송호보건진료소,061-533-3498,,전라남도 해남군 송지면 땅끝해안로 1796-14 (송호보건진료소),1981-01-01
전라남도 순천시 보건소,의원,웰빙의원,061-725-0096,전라남도 순천시 조례동 1722번지 12호 (5층),"전라남도 순천시 이수로 325, 2층 (조례동)",1999-03-02
전라남도 화순군 보건소,의원,이동규소아과의원,061-374-8700,전라남도 화순군 화순읍 유천리 339번지 4호,"전라남도 화순군 화순읍 대교로 123, 2층",1996-07-04
전라남도 화순군 보건소,의원,준호이비인후과의원,061-373-2117,전라남도 화순군 화순읍 241번지 3호,"전라남도 화순군 화순읍 광덕로 177, 3층",1999-04-16
전라남도 광양시 보건소,치과의원,소담치과의원,061-791-3311,전라남도 광양시 광영동 677번지 4호 (2층),,2010-04-07
전라남도 화순군 보건소,의원,가람의원,061-372-0011,전라남도 화순군 화순읍 만연리 241번지 3호 (3층),"전라남도 화순군 화순읍 광덕로 177, 3층",2002-03-18
전라남도 순천시 보건소,치과의원,연세치과의원,061-724-5655,"전라남도 순천시 연향동 1378번지 현대1차아파트, 2층","전라남도 순천시 연향중앙상가길 80, 2층 (연향동, 현대1차아파트)",2018-12-10
전라남도 광양시 보건소,의원,장진형내과의원,061-794-6575,전라남도 광양시 광영동 783번지 1호 (1층),,1999-04-22
전라남도 무안군 보건소,,도대보건진료소,061-452-5820,전라남도 무안군 청계면 도대리 178번지 16호,전라남도 무안군 청계면 청운로 402,1984-12-24
전라남도 여수시 보건소,의원,이건영소아청소년과의원,061-663-1163,전라남도 여수시 충무동,전라남도 여수시 충무1길 12-1 (충무동),2012-02-06
전라남도 무안군 보건소,,망운보건지소,061-452-2351,전라남도 무안군 망운면 목동리 596-1외1,전라남도 무안군 망운면 압창길 5,1963-01-01
전라남도 무안군 보건소,,만풍보건진료소,061-454-6796,전라남도 무안군 해제면 만풍리 373번지,전라남도 무안군 해제면 진목길 2,1986-08-26
,,장성군삼계면보건지소,061-390-8326,,전라남도 장성군 삼계면 사창로 81-2 (삼계면복지회관),2009-06-23
전라남도 순천시 보건소,치과의원,선이고운치과의원,061-724-2879,전라남도 순천시 연향동 1326번지 1호,,2012-08-10
,,장성군북이면보건지소,061-390-7966,,전라남도 장성군 북이면 백양로 32 (북이보건지소),1984-10-18
,의원,한솔의원,061-395-2290,,전라남도 장성군 장성읍 영천로 125-1,2008-03-24
,치과의원,송주종치과의원,061-394-2828,전남장성군장성읍영천리 1038-17,,1992-04-24
,치과의원,믿음치과의원,061-394-2599,전남장성군장성읍영천리 1029-9,,1992-03-16
전라남도 목포시 보건소,의원,혜명내과의원,061-278-7272,전라남도 목포시 산정동 1633번지,"전라남도 목포시 청호로 193, 2층 (산정동)",2010-08-17
전라남도 신안군 보건소,,하의면능산도보건진료소,061-275-3888,전라남도 신안군 하의면 능산리 89번지 능산도보건진료소,"전라남도 신안군 하의면 능뫼큰길 19-6, 능산도보건진료소",1986-03-05
전라남도 함평군 보건소,치과의원,노암치과의원,061-324-2875,전라남도 함평군 함평읍 기각리970-4,,1990-06-09
전라남도 담양군 보건소,의원,한국가정의원,061-383-0975,전라남도 담양군 창평면 창평리 212번지,전라남도 담양군 창평면 의병로 126-1,1999-08-20
전라남도 목포시 보건소,한의원,조은한의원,061-284-8688,,"전라남도 목포시 비파로 95, 2층 (상동)",2011-01-04
전라남도 나주시 보건소,의원,이상곤내과의원,,전라남도 나주시 중앙동 4번지 1호,,2003-06-02
전라남도 광양시 보건소,치과의원,행복나눔치과의원,061-792-0204,,"전라남도 광양시 사동로 171, 2층 (마동)",2009-08-31
전라남도 목포시 보건소,치과의원,주플란트치과의원,061-284-2000,전라남도 목포시 호남동 502,"전라남도 목포시 삼학로 24, 4층 (호남동)",2020-07-02
전라남도 담양군 보건소,한의원,전한의원,061-383-0757,전라남도 담양군 창평면 창평리 209번지 5호,"전라남도 담양군 창평면 의병로 133, 1층",2019-01-07
전라남도 화순군 보건소,,이양보건지소,061-379-5235,전라남도 화순군 이양면 오류리 674-10,전라남도 화순군 이양면 이양로 93,1977-06-01
전라남도 해남군 보건소,의원,김만중내과의원,061-536-3737,,전라남도 해남군 해남읍 천변1길 8,1991-02-28
전라남도 해남군 보건소,의원,오이비인후과의원,061-532-7000,전라남도 해남군 해남읍 해리 459-1,,1990-04-28
전라남도 화순군 보건소,의원,현대외과의원,061-371-8575-6,전라남도 화순순 화순읍 만연리 223번지(2층),전라남도 화순군 화순읍 중앙로 98,1999-11-19
전라남도 곡성군 보건의료원,,남양보건진료소,061-362-1174,전라남도 곡성군 겸면 남양리 90번지 3호,전라남도 곡성군 겸면 곡순로 1866,2006-02-06
전라남도 곡성군 보건의료원,의원,우리들내과의원,061-362-7005,전라남도 곡성군 석곡면 석곡리 224번지 6호,전라남도 곡성군 석곡면 석곡로 53,2005-07-04
전라남도 여수시 보건소,의원,김광중내과의원,061-653-4293,전라남도 여수시 여서동 223-5,전라남도 여수시 여서1로 91 (여서동),1993-08-30
전라남도 영광군 보건소,부속의원,한국수력원자력(주) 한빛본부 부속의원,061-357-3439,,"전라남도 영광군 홍농읍 홍농로 846, 한빛원자력본부",2020-11-24
전라남도 여수시 보건소,치과의원,이용욱치과의원,061-642-4646,전라남도 여수시 충무동 614번지 15호 3층,전라남도 여수시 중앙로 21 (충무동),1987-05-06
전라남도 여수시 보건소,의원,박세원내과의원,061-662-9897,전라남도 여수시 교동,전라남도 여수시 충무로 38-2 (교동),1985-02-27
전라남도 강진군 보건소,치과의원,중앙치과의원,061-433-2875,전라남도 강진군 강진읍 평동리,"전라남도 강진군 강진읍 영랑로 35, 2층",2011-04-27
전라남도 순천시 보건소,,순천시보건소,,전라남도 순천시 석현동 35번지 6호,"전라남도 순천시 중앙로 232 (석현동, 순천시문화건강센터)",1993-03-02
전라남도 여수시 보건소,,서도보건진료소,061-665-7758,,전라남도 여수시 삼산면 장촌3길 9-6,1986-07-01
전라남도 화순군 보건소,의원,한가정의원,061-374-7897,전라남도 화순군 화순읍 대리 108번지,전라남도 화순군 화순읍 칠충로 45,2011-04-29
전라남도 여수시 보건소,,경호보건진료소,061-665-6460,,전라남도 여수시 대경도2길 5 (경호동),1986-07-01
전라남도 목포시 보건소,치과의원,김한성치과의원,061-272-2279,전라남도 목포시 용당동 1021-6번지,전라남도 목포시 영산로 287 (용당동),1986-04-30
전라남도 영암군 보건소,,은곡보건진료소,061-472-5297,전라남도 영암군 학산면 은곡리 189번지,전라남도 영암군 학산면 은곡길 48 (학산은곡보건진료소),1982-10-01
전라남도 목포시 보건소,치과의원,연세유치과의원,061-802-1121,전라남도 목포시 상동 927번지 6호 2층,"전라남도 목포시 백년대로 270, 2층 (상동)",2013-02-12
전라남도 순천시 보건소,치과의원,이광호치과의원,061-743-2816,전라남도 순천시 풍덕동 864번지 2호,전라남도 순천시 풍덕주택길 26 (풍덕동),1990-06-29
전라남도 목포시 보건소,의원,상동아름다운의원,061-276-1275,"전라남도 목포시 상동 748-2,3번지(1층)",전라남도 목포시 상리로1번길 28-1 (상동),2008-03-04
전라남도 완도군 보건의료원,치과의원,완도탑치과의원,061-555-2275,전라남도 완도군 완도읍 군내리 1247번지 15호,전라남도 완도군 완도읍 장보고대로 198-1,2018-01-29
전라남도 여수시 보건소,치과의원,예치과의원,061-641-8523,전남 여수시 봉산동 269-5,전라남도 여수시 신월로 712 (봉산동),1995-05-11
전라남도 순천시 보건소,치과의원,순천탑치과의원,061-721-7528,전라남도 순천시 조례동 1832번지 11호,"전라남도 순천시 왕궁길 25, 4층 (조례동)",2014-05-07
전라남도 여수시 보건소,치과의원,하얀나무치과의원,061-665-2875,전라남도 여수시 웅천동 1695번지 3호,전라남도 여수시 예울마루로 37-16 (웅천동),2013-06-19
,치과의원,안석호치과의원,061-392-2875,전라남도 장성군 장성읍 영천리 942번지 15호,전라남도 장성군 장성읍 영천로 151-1,1993-06-10
전라남도 장흥군 보건소,의원,장흥 베스트 의원,061-862-6600,전라남도 장흥군 장흥읍 건산리 406-13,"전라남도 장흥군 장흥읍 중앙로1길 18, 1층",2023-11-15
전라남도 구례군 보건의료원,,용방보건지소,,,전라남도 구례군 용방면 하용길 5,1986-06-02
전라남도 구례군 보건의료원,,마산보건지소,061-780-2060,,전라남도 구례군 마산면 화엄사로 159 (마산면보건소),1986-06-02
전라남도 담양군 보건소,,담양군보건소,061-383-4000,전라남도 담양군 담양읍 만성리 135번지,전라남도 담양군 담양읍 완동길 10-11,1963-01-01
전라남도 강진군 보건소,,강진군칠량면단월보건진료소,061-430-3581,,전라남도 강진군 칠량면 치산길 7,1988-01-01
전라남도 강진군 보건소,,강진군도암면강정보건진료소,061-430-3584,,전라남도 강진군 도암면 지석로 460 (강정보건진료소),1988-01-01
전라남도 강진군 보건소,,강진군도암면신기보건진료소,061-430-3583,,전라남도 강진군 도암면 월곶로 278 (신기보건진료소),1988-01-01
전라남도 고흥군 보건소,,고흥군영남면남열보건진료소,061-832-9338,,전라남도 고흥군 영남면 남열메뚝길 14,1985-09-30
전라남도 고흥군 보건소,,고흥군도화면신호보건진료소,061-832-7407,,전라남도 고흥군 도화면 문안길 217-3,1984-10-03
전라남도 나주시 보건소,,나주시보건소다시지소,061-335-3863,,전라남도 나주시 다시면 다시로 175-24 (다시면보건지소),1972-03-01
전라남도 고흥군 보건소,,고흥군도화면가화보건진료소,061-834-2544,,전라남도 고흥군 도화면 황촌길 39-8,1985-11-26
전라남도 나주시 보건소,,나주시보건소봉황지소,061-331-4172,,전라남도 나주시 봉황면 봉황로 719-42,1972-03-01
전라남도 진도군 보건소,의원,진도경희의원,061-544-8987,,전라남도 진도군 진도읍 남문길 5,2009-11-30
전라남도 여수시 보건소,한의원,웅천한의원,,,"전라남도 여수시 여서로 58, 3층 (웅천동, 여수웅천 마린파크 애시앙 2단지)",2022-07-22
전라남도 영광군 보건소,의원,서울정신건강의학과의원,061-351-1179,전라남도 영광군 영광읍 신하리 829번지 28호,"전라남도 영광군 영광읍 옥당로 153, 3층",2019-04-24
전라남도 무안군 보건소,,학송보건진료소,061-454-7397,전라남도 무안군 해제면 학송리 202번지 1호,전라남도 무안군 해제면 봉대로 414,1985-11-05
전라남도 무안군 보건소,,해제보건지소,061-453-3474,전라남도 무안군 해제면 신정리 10번지 42호,전라남도 무안군 해제면 해제중앙로 18,1963-01-01
전라남도 무안군 보건소,,해운보건진료소,061-453-6302,전라남도 무안군 현경면 해운리 421번지 21호,전라남도 무안군 현경면 장군로 687,1987-11-24
